                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6
                 Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2236203607571125E+004   0.0000000000000000E+000                         1                         0                        14                        15
  0.2367425352705227E+004   0.0000000000000000E+000                         1                         0                        15                        16
  0.2498240388270223E+004   0.0000000000000000E+000                         1                         0                        16                        17
  0.2629482936948572E+004   0.0000000000000000E+000                         1                         0                        17                        18
  0.2761968285945994E+004   0.0000000000000000E+000                         1                         0                        18                        19
  0.2894899134019812E+004   0.0000000000000000E+000                         1                         0                        19                        20
  0.3027857611213877E+004   0.0000000000000000E+000                         1                         0                        20                        21
  0.3160943186101487E+004   0.0000000000000000E+000                         1                         0                        21                        22
  0.3294088385697201E+004   0.0000000000000000E+000                         1                         0                        22                        23
  0.3427767162827056E+004   0.0000000000000000E+000                         1                         0                        23                        24
  0.3561765965744808E+004   0.0000000000000000E+000                         1                         0                        24                        25
  0.3695992432412265E+004   0.0000000000000000E+000                         1                         0                        25                        26
  0.3830501177586819E+004   0.0000000000000000E+000                         1                         0                        26                        27
  0.3964994108090144E+004   0.0000000000000000E+000                         1                         0                        27                        28
  0.4099638631818156E+004   0.0000000000000000E+000                         1                         0                        28                        29
  0.4234279761983707E+004   0.0000000000000000E+000                         1                         0                        29                        30
  0.4368846394301016E+004   0.0000000000000000E+000                         1                         0                        30                        31
  0.4503291330407498E+004   0.0000000000000000E+000                         1                         0                        31                        32
  0.4637146362605946E+004   0.0000000000000000E+000                         1                         0                        32                        33
  0.4769057771595863E+004   0.0000000000000000E+000                         1                         0                        33                        34
  0.4899715220438680E+004   0.0000000000000000E+000                         1                         0                        34                        35
  0.5030672652030074E+004   0.0000000000000000E+000                         1                         0                        35                        36
  0.5159603843500431E+004   0.0000000000000000E+000                         1                         0                        36                        37
  0.5285584106009714E+004   0.0000000000000000E+000                         1                         0                        37                        38
  0.5408498151998418E+004   0.0000000000000000E+000                         1                         0                        38                        39
  0.5529850997100605E+004   0.0000000000000000E+000                         1                         0                        39                        40
  0.5652421102900923E+004   0.0000000000000000E+000                         1                         0                        40                        41
  0.5778089300147662E+004   0.0000000000000000E+000                         1                         0                        41                        42
  0.5906761706753662E+004   0.0000000000000000E+000                         1                         0                        42                        43
  0.6037664289432237E+004   0.0000000000000000E+000                         1                         0                        43                        44
  0.6170114645263759E+004   0.0000000000000000E+000                         1                         0                        44                        45
  0.6303500929348708E+004   0.0000000000000000E+000                         1                         0                        45                        46
  0.6437560440831157E+004   0.0000000000000000E+000                         1                         0                        46                        47
  0.6572028825194438E+004   0.0000000000000000E+000                         1                         0                        47                        48
  0.6706748817175820E+004   0.0000000000000000E+000                         1                         0                        48                        49
  0.6841657708317574E+004   0.0000000000000000E+000                         1                         0                        49                        50
  0.6976597012279801E+004   0.0000000000000000E+000                         1                         0                        50                        51
  0.7111563650157242E+004   0.0000000000000000E+000                         1                         0                        51                        52
  0.7246451995414557E+004   0.0000000000000000E+000                         1                         0                        52                        53
  0.7381210577382244E+004   0.0000000000000000E+000                         1                         0                        53                        54
  0.7515816843749514E+004   0.0000000000000000E+000                         1                         0                        54                        55
  0.7650160784576104E+004   0.0000000000000000E+000                         1                         0                        55                        56
  0.7784249000087157E+004   0.0000000000000000E+000                         1                         0                        56                        57
  0.7917991529672292E+004   0.0000000000000000E+000                         1                         0                        57                        58
  0.5010456383424901E+002   0.0000000000000000E+000                         2                        22                         0                       -22
  0.3786871691962990E+003   0.0000000000000000E+000                         2                         0                         1                         1
  0.5036086591774628E+003   0.0000000000000000E+000                         2                         0                         2                         2
  0.6487743410153837E+003   0.0000000000000000E+000                         2                         0                         3                         3
  0.7923906940629857E+003   0.0000000000000000E+000                         2                         0                         4                         4
  0.9361172418744183E+003   0.0000000000000000E+000                         2                         0                         5                         5
  0.1077284701494679E+004   0.0000000000000000E+000                         2                         0                         6                         6
  0.1219149263942401E+004   0.0000000000000000E+000                         2                         0                         7                         7
  0.1359379521248664E+004   0.0000000000000000E+000                         2                         0                         8                         8
  0.1497666909215993E+004   0.0000000000000000E+000                         2                         0                         9                         9
  0.1633044796518660E+004   0.0000000000000000E+000                         2                         0                        10                        10
  0.1765289125956276E+004   0.0000000000000000E+000                         2                         0                        11                        11
  0.1897484535347370E+004   0.0000000000000000E+000                         2                         0                        12                        12
  0.2030273416788184E+004   0.0000000000000000E+000                         2                         0                        13                        13
  0.2163273470671148E+004   0.0000000000000000E+000                         2                         0                        14                        14
  0.2295468448095342E+004   0.0000000000000000E+000                         2                         0                        15                        15
  0.2426269963282166E+004   0.0000000000000000E+000                         2                         0                        16                        16
  0.2557363404963544E+004   0.0000000000000000E+000                         2                         0                        17                        17
  0.2689379646185899E+004   0.0000000000000000E+000                         2                         0                        18                        18
  0.2822164119029313E+004   0.0000000000000000E+000                         2                         0                        19                        19
  0.2955434411734105E+004   0.0000000000000000E+000                         2                         0                        20                        20
  0.3088489695353631E+004   0.0000000000000000E+000                         2                         0                        21                        21
  0.3221731662027514E+004   0.0000000000000000E+000                         2                         0                        22                        22
  0.3355325189430213E+004   0.0000000000000000E+000                         2                         0                        23                        23
  0.3489224296381562E+004   0.0000000000000000E+000                         2                         0                        24                        24
  0.3623589579692343E+004   0.0000000000000000E+000                         2                         0                        25                        25
  0.3758059573728509E+004   0.0000000000000000E+000                         2                         0                        26                        26
  0.3892720731983830E+004   0.0000000000000000E+000                         2                         0                        27                        27
  0.4027475876726362E+004   0.0000000000000000E+000                         2                         0                        28                        28
  0.4162192818997765E+004   0.0000000000000000E+000                         2                         0                        29                        29
  0.4297010272242941E+004   0.0000000000000000E+000                         2                         0                        30                        30
  0.4431632149478448E+004   0.0000000000000000E+000                         2                         0                        31                        31
  0.4565983075768340E+004   0.0000000000000000E+000                         2                         0                        32                        32
  0.4699519028150977E+004   0.0000000000000000E+000                         2                         0                        33                        33
  0.4829603579805143E+004   0.0000000000000000E+000                         2                         0                        34                        34
  0.4961526546020388E+004   0.0000000000000000E+000                         2                         0                        35                        35
  0.5091710851394825E+004   0.0000000000000000E+000                         2                         0                        36                        36
  0.5219420182621614E+004   0.0000000000000000E+000                         2                         0                        37                        37
  0.5344011383251130E+004   0.0000000000000000E+000                         2                         0                        38                        38
  0.5465907626900696E+004   0.0000000000000000E+000                         2                         0                        39                        39
  0.5587578832529300E+004   0.0000000000000000E+000                         2                         0                        40                        40
  0.5711602200967322E+004   0.0000000000000000E+000                         2                         0                        41                        41
  0.5838809906852734E+004   0.0000000000000000E+000                         2                         0                        42                        42
  0.5968749173214922E+004   0.0000000000000000E+000                         2                         0                        43                        43
  0.6100518634900680E+004   0.0000000000000000E+000                         2                         0                        44                        44
  0.6233534770151949E+004   0.0000000000000000E+000                         2                         0                        45                        45
  0.6367365036315124E+004   0.0000000000000000E+000                         2                         0                        46                        46
  0.6501678791200728E+004   0.0000000000000000E+000                         2                         0                        47                        47
  0.6636371196541761E+004   0.0000000000000000E+000                         2                         0                        48                        48
  0.6771238278986239E+004   0.0000000000000000E+000                         2                         0                        49                        49
  0.6906229561489735E+004   0.0000000000000000E+000                         2                         0                        50                        50
  0.7041259111245530E+004   0.0000000000000000E+000                         2                         0                        51                        51
  0.7176226786907607E+004   0.0000000000000000E+000                         2                         0                        52                        52
  0.7311134824297873E+004   0.0000000000000000E+000                         2                         0                        53                        53
  0.7445862072776116E+004   0.0000000000000000E+000                         2                         0                        54                        54
  0.7580400842177671E+004   0.0000000000000000E+000                         2                         0                        55                        55
  0.7714684203310244E+004   0.0000000000000000E+000                         2                         0                        56                        56
  0.7848637761620949E+004   0.0000000000000000E+000                         2                         0                        57                        57
  0.7982262913097117E+004   0.0000000000000000E+000                         2                         0                        58                        58
  0.5017705727697159E+002   0.0000000000000000E+000                         3                        31                         0                       -31
  0.1353824784008128E+003   0.0000000000000000E+000                         3                        10                         0                       -10
