                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6
                 Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2907583278260036E+004   0.0000000000000000E+000                         1                         0                        18                        19
  0.3047130139699871E+004   0.0000000000000000E+000                         1                         0                        19                        20
  0.3186710029423244E+004   0.0000000000000000E+000                         1                         0                        20                        21
  0.3326505017947846E+004   0.0000000000000000E+000                         1                         0                        21                        22
  0.3466412068440737E+004   0.0000000000000000E+000                         1                         0                        22                        23
  0.3606883112552559E+004   0.0000000000000000E+000                         1                         0                        23                        24
  0.3747671162344425E+004   0.0000000000000000E+000                         1                         0                        24                        25
  0.3888656748093329E+004   0.0000000000000000E+000                         1                         0                        25                        26
  0.4029955201332612E+004   0.0000000000000000E+000                         1                         0                        26                        27
  0.4171276462797987E+004   0.0000000000000000E+000                         1                         0                        27                        28
  0.4312776145858307E+004   0.0000000000000000E+000                         1                         0                        28                        29
  0.4454279742338750E+004   0.0000000000000000E+000                         1                         0                        29                        30
  0.4595709655567269E+004   0.0000000000000000E+000                         1                         0                        30                        31
  0.4737082966001994E+004   0.0000000000000000E+000                         1                         0                        31                        32
  0.4877996018866539E+004   0.0000000000000000E+000                         1                         0                        32                        33
  0.5017929576217688E+004   0.0000000000000000E+000                         1                         0                        33                        34
  0.5154150830248275E+004   0.0000000000000000E+000                         1                         0                        34                        35
  0.5292138425471147E+004   0.0000000000000000E+000                         1                         0                        35                        36
  0.5428198903312209E+004   0.0000000000000000E+000                         1                         0                        36                        37
  0.5561379409914726E+004   0.0000000000000000E+000                         1                         0                        37                        38
  0.5691343142515940E+004   0.0000000000000000E+000                         1                         0                        38                        39
  0.5819180223584546E+004   0.0000000000000000E+000                         1                         0                        39                        40
  0.5947598784150950E+004   0.0000000000000000E+000                         1                         0                        40                        41
  0.6078962578812948E+004   0.0000000000000000E+000                         1                         0                        41                        42
  0.6213560932430116E+004   0.0000000000000000E+000                         1                         0                        42                        43
  0.6350671332868252E+004   0.0000000000000000E+000                         1                         0                        43                        44
  0.6489558008158510E+004   0.0000000000000000E+000                         1                         0                        44                        45
  0.6629537390565844E+004   0.0000000000000000E+000                         1                         0                        45                        46
  0.6770294715702717E+004   0.0000000000000000E+000                         1                         0                        46                        47
  0.6911537017613414E+004   0.0000000000000000E+000                         1                         0                        47                        48
  0.7053071971407025E+004   0.0000000000000000E+000                         1                         0                        48                        49
  0.7194835458989695E+004   0.0000000000000000E+000                         1                         0                        49                        50
  0.7336652552782335E+004   0.0000000000000000E+000                         1                         0                        50                        51
  0.7478513264848339E+004   0.0000000000000000E+000                         1                         0                        51                        52
  0.7620320170953422E+004   0.0000000000000000E+000                         1                         0                        52                        53
  0.7762007284283925E+004   0.0000000000000000E+000                         1                         0                        53                        54
