                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6
                 Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2635868116797558E+003   0.0000000000000000E+000                         0                         0                         1                         1
  0.4054841637387892E+003   0.0000000000000000E+000                         0                         0                         2                         2
  0.5371492412590068E+003   0.0000000000000000E+000                         0                         0                         3                         3
  0.6809074576469853E+003   0.0000000000000000E+000                         0                         0                         4                         4
  0.8269214363473004E+003   0.0000000000000000E+000                         0                         0                         5                         5
  0.9743823484138165E+003   0.0000000000000000E+000                         0                         0                         6                         6
  0.1119911904939464E+004   0.0000000000000000E+000                         0                         0                         7                         7
  0.1266084559950725E+004   0.0000000000000000E+000                         0                         0                         8                         8
  0.1409957174032653E+004   0.0000000000000000E+000                         0                         0                         9                         9
  0.1551940903547322E+004   0.0000000000000000E+000                         0                         0                        10                        10
  0.1690337767195913E+004   0.0000000000000000E+000                         0                         0                        11                        11
  0.1826090743805269E+004   0.0000000000000000E+000                         0                         0                        12                        12
  0.1961857463930240E+004   0.0000000000000000E+000                         0                         0                        13                        13
  0.2097855335082594E+004   0.0000000000000000E+000                         0                         0                        14                        14
  0.2234111290511075E+004   0.0000000000000000E+000                         0                         0                        15                        15
  0.2369103465252718E+004   0.0000000000000000E+000                         0                         0                        16                        16
  0.2503204856056084E+004   0.0000000000000000E+000                         0                         0                        17                        17
  0.2637806119506224E+004   0.0000000000000000E+000                         0                         0                        18                        18
  0.2773112190993413E+004   0.0000000000000000E+000                         0                         0                        19                        19
  0.2909330605083368E+004   0.0000000000000000E+000                         0                         0                        20                        20
  0.3045617608141161E+004   0.0000000000000000E+000                         0                         0                        21                        21
  0.3181930841811116E+004   0.0000000000000000E+000                         0                         0                        22                        22
  0.3318539302069989E+004   0.0000000000000000E+000                         0                         0                        23                        23
  0.3455403186100523E+004   0.0000000000000000E+000                         0                         0                        24                        24
  0.3592837187788563E+004   0.0000000000000000E+000                         0                         0                        25                        25
  0.3730457152247763E+004   0.0000000000000000E+000                         0                         0                        26                        26
  0.3868345704561904E+004   0.0000000000000000E+000                         0                         0                        27                        27
  0.4006397143696644E+004   0.0000000000000000E+000                         0                         0                        28                        28
  0.4144467107485539E+004   0.0000000000000000E+000                         0                         0                        29                        29
  0.4282681007759002E+004   0.0000000000000000E+000                         0                         0                        30                        30
  0.4420762256848761E+004   0.0000000000000000E+000                         0                         0                        31                        31
  0.4558776010384411E+004   0.0000000000000000E+000                         0                         0                        32                        32
  0.4696358204145390E+004   0.0000000000000000E+000                         0                         0                        33                        33
  0.4832687752005538E+004   0.0000000000000000E+000                         0                         0                        34                        34
  0.4966083647170517E+004   0.0000000000000000E+000                         0                         0                        35                        35
  0.5100784086496063E+004   0.0000000000000000E+000                         0                         0                        36                        36
  0.5233554317171825E+004   0.0000000000000000E+000                         0                         0                        37                        37
  0.5363447836377772E+004   0.0000000000000000E+000                         0                         0                        38                        38
  0.5490121230674674E+004   0.0000000000000000E+000                         0                         0                        39                        39
  0.5614821028745898E+004   0.0000000000000000E+000                         0                         0                        40                        40
  0.5740271934227369E+004   0.0000000000000000E+000                         0                         0                        41                        41
  0.5868723354310067E+004   0.0000000000000000E+000                         0                         0                        42                        42
  0.6000360152233071E+004   0.0000000000000000E+000                         0                         0                        43                        43
  0.6134427054811675E+004   0.0000000000000000E+000                         0                         0                        44                        44
  0.6270199833518011E+004   0.0000000000000000E+000                         0                         0                        45                        45
  0.6407010775237909E+004   0.0000000000000000E+000                         0                         0                        46                        46
  0.6544571703297060E+004   0.0000000000000000E+000                         0                         0                        47                        47
  0.6682572566325651E+004   0.0000000000000000E+000                         0                         0                        48                        48
  0.6820871985560565E+004   0.0000000000000000E+000                         0                         0                        49                        49
  0.6959369402804455E+004   0.0000000000000000E+000                         0                         0                        50                        50
  0.7097915050687983E+004   0.0000000000000000E+000                         0                         0                        51                        51
  0.7236508676436180E+004   0.0000000000000000E+000                         0                         0                        52                        52
  0.7375010134031955E+004   0.0000000000000000E+000                         0                         0                        53                        53
  0.7513419814484745E+004   0.0000000000000000E+000                         0                         0                        54                        54
  0.7651653653774154E+004   0.0000000000000000E+000                         0                         0                        55                        55
  0.7789647994439021E+004   0.0000000000000000E+000                         0                         0                        56                        56
  0.7927382430775674E+004   0.0000000000000000E+000                         0                         0                        57                        57
  0.4508725886230185E+003   0.0000000000000000E+000                         1                         0                         1                         2
  0.5989007823530139E+003   0.0000000000000000E+000                         1                         0                         2                         3
  0.7490382226529752E+003   0.0000000000000000E+000                         1                         0                         3                         4
  0.8952076052753633E+003   0.0000000000000000E+000                         1                         0                         4                         5
  0.1042003533062359E+004   0.0000000000000000E+000                         1                         0                         5                         6
  0.1187468961339241E+004   0.0000000000000000E+000                         1                         0                         6                         7
  0.1332359783108913E+004   0.0000000000000000E+000                         1                         0                         7                         8
  0.1475892213760242E+004   0.0000000000000000E+000                         1                         0                         8                         9
  0.1615928612211356E+004   0.0000000000000000E+000                         1                         0                         9                        10
  0.1753427433536601E+004   0.0000000000000000E+000                         1                         0                        10                        11
  0.1888913603211940E+004   0.0000000000000000E+000                         1                         0                        11                        12
  0.2025042581078243E+004   0.0000000000000000E+000                         1                         0                        12                        13
  0.2161667738462960E+004   0.0000000000000000E+000                         1                         0                        13                        14
  0.2297410336100405E+004   0.0000000000000000E+000                         1                         0                        14                        15
  0.2432273119703278E+004   0.0000000000000000E+000                         1                         0                        15                        16
  0.2566524666470785E+004   0.0000000000000000E+000                         1                         0                        16                        17
  0.2701655477578669E+004   0.0000000000000000E+000                         1                         0                        17                        18
  0.2837696890367390E+004   0.0000000000000000E+000                         1                         0                        18                        19
  0.2974052282870905E+004   0.0000000000000000E+000                         1                         0                        19                        20
  0.3110642404407305E+004   0.0000000000000000E+000                         1                         0                        20                        21
  0.3247114844506943E+004   0.0000000000000000E+000                         1                         0                        21                        22
  0.3384021826190683E+004   0.0000000000000000E+000                         1                         0                        22                        23
  0.3521301689647064E+004   0.0000000000000000E+000                         1                         0                        23                        24
  0.3658889327519414E+004   0.0000000000000000E+000                         1                         0                        24                        25
  0.3796827299108910E+004   0.0000000000000000E+000                         1                         0                        25                        26
  0.3934805927172328E+004   0.0000000000000000E+000                         1                         0                        26                        27
  0.4073018536851371E+004   0.0000000000000000E+000                         1                         0                        27                        28
  0.4211214467715364E+004   0.0000000000000000E+000                         1                         0                        28                        29
